name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,start_date,end_date
Better,Suncity,Khalid,10/18/2018,229320,77,0.596,0.0765,0.596,0.552,0.334,0.104,-10.278,0.097,97.949,4,4/5/2019,4/12/2019
Old Town Road (feat. Billy Ray Cyrus) - Remix,Old Town Road,Lil Nas X,4/5/2019,157066,11,0.878,0.0533,0.878,0.619,0,0.113,-5.56,0.102,136.041,4,4/12/2019,4/19/2019
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,3/29/2019,194087,89,0.701,0.328,0.701,0.425,0.13,0.1,-10.965,0.375,135.128,4,4/12/2019,4/19/2019
Old Town Road,Old Town Road,Lil Nas X,3/14/2019,113013,8,0.908,0.0361,0.908,0.517,1.73E-06,0.0949,-6.063,0.129,136.019,4,4/12/2019,4/19/2019
Boy With Luv (feat. Halsey),MAP OF THE SOUL : PERSONA,BTS,4/12/2019,229773,84,0.645,0.0923,0.645,0.862,0,0.192,-4.757,0.0965,119.991,4,4/12/2019,4/19/2019
Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,12/14/2018,158040,86,0.76,0.556,0.76,0.479,0,0.0703,-5.574,0.0466,89.911,4,4/12/2019,4/19/2019
MIDDLE CHILD,MIDDLE CHILD,J. Cole,1/23/2019,213593,83,0.837,0.149,0.837,0.364,0,0.271,-11.713,0.276,123.984,4,4/12/2019,4/19/2019
Sanguine Paradise,Sanguine Paradise,Lil Uzi Vert,4/9/2019,243976,78,0.729,0.0948,0.729,0.603,0,0.113,-6.736,0.0666,134.972,4,4/12/2019,4/19/2019
Swervin (feat. 6ix9ine),Hoodie SZN,A Boogie Wit da Hoodie,12/21/2018,189486,81,0.581,0.0153,0.581,0.662,0,0.111,-5.239,0.303,93.023,4,4/12/2019,4/19/2019
Talk (feat. Disclosure),Free Spirit,Khalid,4/5/2019,197573,76,0.901,0.051,0.901,0.4,0,0.0599,-8.575,0.126,135.984,4,4/12/2019,4/19/2019
Wow.,Wow.,Post Malone,12/24/2018,149520,18,0.833,0.163,0.833,0.539,2.10E-06,0.101,-7.399,0.178,99.947,4,4/12/2019,4/19/2019
Old Town Road (feat. Billy Ray Cyrus) - Remix,Old Town Road,Lil Nas X,4/5/2019,157066,11,0.878,0.0533,0.878,0.619,0,0.113,-5.56,0.102,136.041,4,4/19/2019,4/26/2019
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,3/29/2019,194087,89,0.701,0.328,0.701,0.425,0.13,0.1,-10.965,0.375,135.128,4,4/19/2019,4/26/2019
Old Town Road,Old Town Road,Lil Nas X,3/14/2019,113013,8,0.908,0.0361,0.908,0.517,1.73E-06,0.0949,-6.063,0.129,136.019,4,4/19/2019,4/26/2019
Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,12/14/2018,158040,86,0.76,0.556,0.76,0.479,0,0.0703,-5.574,0.0466,89.911,4,4/19/2019,4/26/2019
MIDDLE CHILD,MIDDLE CHILD,J. Cole,1/23/2019,213593,83,0.837,0.149,0.837,0.364,0,0.271,-11.713,0.276,123.984,4,4/19/2019,4/26/2019
Sanguine Paradise,Sanguine Paradise,Lil Uzi Vert,4/9/2019,243976,78,0.729,0.0948,0.729,0.603,0,0.113,-6.736,0.0666,134.972,4,4/19/2019,4/26/2019
Talk (feat. Disclosure),Free Spirit,Khalid,4/5/2019,197573,76,0.901,0.051,0.901,0.4,0,0.0599,-8.575,0.126,135.984,4,4/19/2019,4/26/2019
Swervin (feat. 6ix9ine),Hoodie SZN,A Boogie Wit da Hoodie,12/21/2018,189486,81,0.581,0.0153,0.581,0.662,0,0.111,-5.239,0.303,93.023,4,4/19/2019,4/26/2019
Going Bad (feat. Drake),Championships,Meek Mill,11/30/2018,180522,82,0.889,0.259,0.889,0.496,0,0.252,-6.365,0.0905,86.003,4,4/19/2019,4/26/2019
Wow.,Wow.,Post Malone,12/24/2018,149520,18,0.833,0.163,0.833,0.539,2.10E-06,0.101,-7.399,0.178,99.947,4,4/19/2019,4/26/2019
ME! (feat. Brendon Urie of Panic! At The Disco),ME!,Taylor Swift,4/26/2019,193040,3,0.614,0.0291,0.614,0.839,0,0.112,-4.143,0.0702,182.123,4,4/26/2019,5/3/2019
Old Town Road (feat. Billy Ray Cyrus) - Remix,Old Town Road,Lil Nas X,4/5/2019,157066,11,0.878,0.0533,0.878,0.619,0,0.113,-5.56,0.102,136.041,4,4/26/2019,5/3/2019
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,3/29/2019,194087,89,0.701,0.328,0.701,0.425,0.13,0.1,-10.965,0.375,135.128,4,4/26/2019,5/3/2019
